3;1;1;9;
3;2;3;6;
4;3;4;2;
5;4;4;6;
19;5;3;6;
19;6;5;10;
34;7;2;7;
34;8;3;1;
36;9;1;1;
37;10;3;2;
42;11;1;1;
42;12;1;2;
43;13;4;5;
44;14;4;10;
45;15;1;3;
46;16;4;5;
48;17;1;7;
48;18;2;7;
52;19;3;7;
54;20;1;1;
58;21;2;9;
59;22;3;8;
61;23;2;9;
61;24;2;5;
62;25;4;1;
66;26;2;6;
68;27;2;7;
68;28;2;1;
70;29;3;2;
70;30;1;10;
75;31;2;7;
76;32;4;6;
86;33;1;3;
86;34;3;1;
88;35;3;10;
88;36;3;9;
94;37;1;1;
103;38;5;5;
104;39;5;6;
111;40;3;3;
112;41;2;5;
113;42;2;6;
118;43;5;4;
126;44;4;10;
131;45;1;10;
144;46;3;6;
145;47;3;4;
146;48;3;9;
149;49;4;4;
149;50;5;3;
153;51;4;1;
159;52;5;7;
163;53;4;4;
167;54;3;5;
176;55;5;6;
182;56;4;8;
183;57;1;2;
184;58;4;8;
185;59;2;4;
188;60;4;9;
191;61;2;6;
193;62;4;9;
194;63;2;5;
197;64;2;6;
199;65;2;1;
199;66;4;5;
199;67;3;2;
200;68;1;2;
201;69;4;7;
205;70;2;1;
212;71;1;4;
220;72;2;6;
223;73;5;8;
224;74;4;2;
224;75;5;2;
227;76;3;1;
228;77;2;9;
229;78;3;3;
238;79;4;5;
239;80;2;4;
247;81;1;1;
251;82;5;5;
251;83;2;4;
254;84;2;10;
256;85;1;3;
256;86;5;1;
262;87;4;9;
268;88;1;4;
271;89;2;5;
275;90;5;10;
276;91;3;4;
280;92;1;4;
281;93;1;4;
283;94;3;9;
285;95;4;3;
286;96;4;3;
291;97;1;8;
295;98;3;4;
297;99;1;7;
299;100;1;10;
