2;1;1;1;
2;2;4;10;
3;3;4;5;
4;4;2;4;
5;5;1;5;
5;6;3;5;
7;7;4;4;
7;8;1;9;
9;9;4;10;
10;10;4;10;
10;11;1;10;
12;12;4;7;
13;13;4;2;
13;14;2;10;
14;15;5;1;
16;16;3;5;
16;17;5;7;
16;18;1;1;
18;19;3;6;
20;20;2;5;
20;21;3;5;
21;22;3;10;
23;23;5;7;
23;24;5;7;
24;25;3;7;
24;26;3;9;
25;27;1;10;
25;28;5;6;
25;29;3;7;
28;30;5;9;
28;31;3;4;
28;32;2;6;
28;33;1;9;
30;34;4;9;
30;35;4;9;
30;36;3;10;
33;37;4;2;
36;38;3;4;
37;39;1;6;
38;40;4;5;
38;41;3;2;
39;42;1;5;
39;43;4;5;
40;44;2;2;
41;45;3;1;
41;46;5;9;
42;47;5;7;
42;48;3;4;
42;49;1;2;
44;50;2;9;
46;51;5;3;
49;52;2;7;
50;53;2;4;
50;54;5;5;
50;55;4;2;
51;56;5;10;
54;57;1;6;
58;58;1;4;
58;59;3;3;
59;60;4;10;
59;61;4;10;
59;62;4;1;
60;63;5;4;
60;64;1;2;
61;65;1;1;
62;66;3;6;
63;67;5;9;
64;68;4;10;
64;69;1;7;
66;70;1;6;
67;71;1;2;
70;72;1;7;
70;73;2;2;
71;74;3;4;
72;75;4;6;
73;76;4;10;
74;77;4;7;
75;78;3;6;
76;79;5;3;
77;80;4;9;
78;81;5;2;
79;82;5;6;
80;83;5;7;
80;84;5;2;
85;85;5;6;
86;86;4;2;
86;87;5;7;
87;88;5;2;
88;89;5;5;
88;90;5;4;
88;91;1;1;
90;92;5;10;
91;93;4;1;
93;94;1;9;
93;95;4;7;
95;96;2;2;
95;97;3;5;
97;98;3;4;
99;99;5;7;
99;100;3;10;
