2;1;5;7;
3;2;2;10;
3;3;3;8;
5;4;4;5;
5;5;5;5;
6;6;1;3;
6;7;5;8;
6;8;3;9;
7;9;3;6;
8;10;5;9;
9;11;4;7;
12;12;5;9;
13;13;1;2;
13;14;4;7;
16;15;4;9;
17;16;3;10;
17;17;1;7;
17;18;1;3;
19;19;1;6;
20;20;1;10;
22;21;3;1;
25;22;4;6;
26;23;3;2;
26;24;2;7;
27;25;3;6;
27;26;1;10;
27;27;5;10;
28;28;5;2;
29;29;1;9;
29;30;2;10;
32;31;2;8;
33;32;2;6;
34;33;1;10;
35;34;5;2;
35;35;4;7;
36;36;2;10;
38;37;1;9;
38;38;3;1;
38;39;4;3;
39;40;5;7;
40;41;3;7;
41;42;4;6;
42;43;5;4;
44;44;2;10;
45;45;1;3;
46;46;4;8;
47;47;5;1;
48;48;2;3;
48;49;3;6;
49;50;3;7;
49;51;4;3;
49;52;5;6;
49;53;3;10;
51;54;3;9;
52;55;2;4;
53;56;5;6;
55;57;2;10;
55;58;4;5;
55;59;4;1;
56;60;1;5;
57;61;4;5;
58;62;1;7;
58;63;4;5;
61;64;2;3;
62;65;3;3;
65;66;3;7;
66;67;2;1;
66;68;1;2;
67;69;3;10;
68;70;2;10;
70;71;4;3;
70;72;1;4;
71;73;4;8;
71;74;1;9;
74;75;1;5;
74;76;1;10;
75;77;3;10;
76;78;5;9;
76;79;2;2;
81;80;2;5;
82;81;1;7;
83;82;1;9;
85;83;1;3;
85;84;4;10;
86;85;5;4;
87;86;1;2;
89;87;3;8;
89;88;5;1;
91;89;5;1;
92;90;4;3;
94;91;3;10;
97;92;3;9;
98;93;2;3;
98;94;2;10;
98;95;3;8;
99;96;3;2;
100;97;1;9;
100;98;4;10;
100;99;1;9;
100;100;4;9;
