0;1;2;3;4
3;1;3;7;
3;2;4;4;
5;3;5;7;
5;4;1;2;
5;5;5;9;
6;6;2;4;
6;7;3;9;
8;8;1;2;
12;9;2;5;
13;10;3;6;
13;11;2;2;
14;12;5;1;
18;13;4;1;
19;14;2;6;
20;15;3;6;
20;16;5;4;
22;17;3;1;
24;18;5;4;
24;19;5;4;
24;20;5;4;
26;21;5;7;
27;22;2;9;
28;23;5;10;
29;24;3;8;
30;25;2;4;
32;26;1;8;
34;27;3;6;
34;28;4;9;
36;29;2;6;
36;30;4;6;
37;31;1;3;
40;32;4;5;
45;33;4;9;
48;34;2;3;
49;35;4;1;
49;36;1;2;
51;37;1;4;
54;38;2;8;
54;39;1;10;
55;40;5;8;
55;41;1;7;
56;42;5;7;
58;43;2;4;
61;44;2;2;
66;45;5;8;
69;46;5;2;
69;47;3;5;
69;48;4;1;
70;49;3;2;
71;50;2;3;
73;51;1;7;
74;52;3;10;
77;53;2;7;
78;54;1;2;
83;55;1;10;
87;56;3;1;
87;57;1;1;
88;58;3;2;
89;59;3;9;
90;60;3;2;
91;61;2;10;
94;62;3;2;
94;63;1;9;
97;64;4;1;
98;65;3;10;
98;66;2;1;
99;67;1;1;
100;68;5;5;
100;69;1;9;
100;70;2;2;
101;71;1;5;
101;72;2;9;
103;73;5;7;
106;74;5;1;
106;75;4;7;
108;76;1;9;
110;77;4;2;
110;78;3;10;
111;79;2;5;
117;80;5;9;
120;81;5;10;
120;82;4;6;
