0;1;2;3;4
0;1;4;4;
1;2;5;2;
4;3;2;1;
6;4;2;1;
7;5;2;8;
9;6;5;7;
10;7;2;6;
11;8;1;2;
11;9;5;5;
12;10;3;7;
13;11;1;4;
14;12;2;2;
14;13;3;3;
15;14;3;5;
17;15;3;10;
18;16;5;4;
18;17;5;6;
21;18;1;1;
21;19;4;10;
22;20;3;5;
22;21;2;8;
24;22;4;8;
24;23;2;7;
27;24;4;6;
28;25;3;1;
28;26;2;1;
30;27;2;7;
33;28;2;1;
37;29;1;5;
40;30;1;3;
42;31;3;9;
42;32;2;5;
45;33;1;3;
45;34;1;4;
47;35;1;8;
52;36;3;9;
58;37;5;6;
62;38;1;8;
64;39;4;2;
68;40;5;8;
69;41;5;2;
72;42;3;4;
73;43;2;4;
74;44;5;10;
79;45;2;5;
81;46;2;5;
87;47;1;6;
87;48;5;6;
88;49;5;8;
91;50;1;7;
92;51;2;4;
95;52;4;5;
97;53;1;10;
98;54;3;4;
101;55;3;10;
101;56;2;1;
107;57;5;3;
108;58;3;7;
111;59;2;7;
112;60;4;8;
112;61;3;9;
