0;1;2;3;4
0;1;1;4;
2;2;4;3;
5;3;3;2;
6;4;2;6;
7;5;5;3;
9;6;2;8;
9;7;2;3;
11;8;2;1;
14;9;1;10;
14;10;3;2;
14;11;5;2;
15;12;5;5;
17;13;1;4;
18;14;2;10;
19;15;1;6;
21;16;2;4;
22;17;2;4;
23;18;5;7;
28;19;2;9;
28;20;5;1;
36;21;1;2;
39;22;1;9;
43;23;5;10;
43;24;3;7;
44;25;2;4;
44;26;5;4;
45;27;2;2;
50;28;4;10;
51;29;1;5;
54;30;5;2;
56;31;3;2;
58;32;3;3;
61;33;5;10;
63;34;5;9;
64;35;5;2;
65;36;2;2;
69;37;5;6;
70;38;5;2;
70;39;3;1;
71;40;4;1;
71;41;1;4;
72;42;5;10;
74;43;5;2;
76;44;4;6;
77;45;3;7;
77;46;1;5;
78;47;4;2;
78;48;3;4;
79;49;5;3;
81;50;2;6;
81;51;3;7;
82;52;2;5;
83;53;3;6;
84;54;4;9;
87;55;3;5;
89;56;4;8;
91;57;5;10;
92;58;1;9;
92;59;2;6;
93;60;2;4;
93;61;4;10;
94;62;2;5;
96;63;1;3;
97;64;3;5;
98;65;5;7;
100;66;5;8;
101;67;5;10;
102;68;2;9;
103;69;3;5;
105;70;3;3;
105;71;5;5;
106;72;5;6;
108;73;4;10;
109;74;3;2;
110;75;3;10;
111;76;5;9;
113;77;4;10;
113;78;4;7;
113;79;1;7;
113;80;5;6;
114;81;1;6;
114;82;1;1;
115;83;3;7;
115;84;5;9;
117;85;5;1;
118;86;4;2;
119;87;5;1;
119;88;5;1;
120;89;1;2;
