0;1;2;3;4
1;1;3;5;
2;2;3;9;
3;3;1;2;
4;4;3;8;
5;5;3;9;
10;6;3;6;
10;7;5;7;
11;8;4;7;
12;9;2;5;
12;10;5;5;
26;11;3;9;
28;12;1;4;
35;13;2;8;
36;14;5;4;
45;15;2;1;
45;16;5;9;
53;17;3;7;
54;18;1;10;
57;19;3;4;
57;20;2;6;
58;21;1;2;
59;22;4;6;
60;23;4;8;
62;24;3;1;
64;25;5;10;
65;26;5;5;
66;27;2;3;
70;28;1;3;
73;29;1;4;
78;30;3;3;
79;31;3;3;
80;32;4;5;
83;33;3;7;
84;34;2;10;
86;35;1;10;
87;36;4;5;
91;37;5;6;
91;38;1;5;
92;39;2;3;
93;40;2;7;
98;41;1;1;
100;42;5;10;
101;43;3;8;
109;44;3;1;
111;45;5;3;
112;46;1;1;
113;47;4;4;
114;48;1;7;
115;49;2;10;
115;50;5;10;
115;51;4;10;
116;52;2;9;
118;53;2;1;
118;54;5;7;
120;55;4;5;
