0;1;2;3;4
2;1;1;8;
4;2;3;8;
7;3;5;1;
8;4;1;10;
8;5;1;1;
8;6;4;8;
12;7;3;8;
14;8;5;9;
23;9;1;7;
25;10;5;3;
31;11;5;10;
33;12;1;8;
34;13;1;1;
34;14;5;2;
35;15;5;4;
45;16;1;9;
48;17;4;6;
48;18;4;10;
48;19;1;3;
50;20;2;1;
52;21;2;5;
52;22;4;1;
55;23;5;8;
61;24;1;4;
63;25;3;9;
64;26;2;8;
64;27;2;1;
65;28;2;10;
76;29;4;7;
77;30;3;1;
79;31;4;3;
79;32;1;9;
80;33;3;3;
80;34;2;1;
83;35;3;9;
85;36;5;4;
87;37;2;9;
89;38;2;10;
90;39;1;2;
90;40;4;7;
93;41;5;10;
94;42;4;10;
97;43;1;7;
101;44;5;4;
104;45;1;7;
106;46;1;9;
106;47;2;3;
108;48;2;7;
109;49;1;7;
109;50;3;9;
110;51;5;6;
111;52;1;8;
113;53;4;7;
116;54;1;9;
116;55;2;2;
118;56;3;10;
120;57;4;8;
