0;1;2;3;4
5;1;5;8;
6;2;1;3;
6;3;3;9;
7;4;1;8;
8;5;4;8;
10;6;1;9;
13;7;4;3;
19;8;1;10;
21;9;4;4;
22;10;3;6;
23;11;3;10;
23;12;3;3;
24;13;4;2;
25;14;4;10;
30;15;4;2;
31;16;4;4;
34;17;5;7;
36;18;4;6;
38;19;3;9;
39;20;1;10;
41;21;5;4;
42;22;3;4;
45;23;4;4;
47;24;5;1;
49;25;2;2;
52;26;5;1;
55;27;3;6;
57;28;3;7;
57;29;1;4;
65;30;4;1;
65;31;3;3;
69;32;5;5;
71;33;4;10;
74;34;3;5;
75;35;4;6;
77;36;4;8;
79;37;2;9;
81;38;3;4;
83;39;5;3;
85;40;2;5;
86;41;5;4;
89;42;3;8;
92;43;5;1;
96;44;5;7;
101;45;1;3;
104;46;4;3;
106;47;1;5;
106;48;1;2;
113;49;4;9;
114;50;2;4;
114;51;2;2;
115;52;4;10;
116;53;5;2;
119;54;5;8;
