0;1;2;3;4
0;1;1;3;
3;2;3;10;
4;3;4;2;
8;4;2;4;
10;5;5;7;
18;6;3;10;
24;7;5;7;
25;8;5;6;
27;9;4;10;
30;10;5;2;
36;11;3;1;
36;12;5;4;
37;13;1;5;
41;14;3;5;
43;15;3;8;
44;16;4;2;
45;17;3;10;
47;18;1;8;
47;19;2;9;
47;20;1;8;
57;21;3;4;
63;22;5;6;
69;23;1;9;
69;24;4;2;
70;25;5;8;
71;26;2;8;
72;27;2;10;
73;28;2;4;
74;29;1;9;
79;30;2;2;
84;31;3;5;
87;32;3;4;
89;33;4;10;
90;34;5;5;
90;35;1;9;
91;36;1;1;
91;37;1;8;
95;38;1;6;
97;39;1;4;
97;40;4;1;
110;41;4;7;
110;42;4;9;
110;43;4;4;
111;44;2;2;
116;45;1;1;
118;46;4;8;
118;47;3;6;
119;48;4;4;
120;49;3;9;
