0;1;2;3;4
0;1;4;9;
0;2;2;4;
0;3;1;3;
1;4;2;4;
5;5;4;6;
5;6;3;6;
8;7;1;7;
9;8;4;5;
10;9;4;1;
10;10;3;6;
14;11;1;7;
14;12;1;3;
21;13;1;8;
22;14;4;1;
24;15;4;7;
24;16;5;8;
29;17;5;8;
31;18;4;6;
35;19;5;2;
35;20;1;4;
35;21;4;10;
40;22;3;2;
45;23;2;10;
46;24;5;1;
46;25;2;5;
47;26;2;10;
47;27;1;8;
48;28;1;4;
48;29;5;9;
50;30;4;5;
50;31;1;7;
53;32;3;7;
54;33;1;7;
56;34;1;8;
56;35;1;1;
60;36;2;7;
62;37;1;10;
62;38;3;4;
62;39;1;2;
62;40;5;5;
64;41;3;1;
68;42;2;3;
70;43;5;10;
78;44;1;5;
78;45;4;5;
80;46;3;5;
80;47;3;1;
83;48;1;6;
84;49;2;6;
84;50;5;9;
88;51;4;2;
89;52;3;4;
89;53;4;9;
92;54;4;5;
92;55;5;1;
93;56;2;10;
94;57;5;7;
97;58;4;5;
97;59;2;7;
99;60;2;5;
100;61;5;2;
102;62;1;6;
103;63;5;8;
103;64;3;8;
103;65;3;6;
105;66;2;8;
110;67;3;2;
111;68;2;9;
111;69;1;5;
112;70;5;2;
112;71;4;9;
112;72;3;6;
112;73;1;5;
115;74;1;3;
