0;1;2;3;4
0;1;5;8;
3;2;4;2;
5;3;2;3;
6;4;1;4;
7;5;3;9;
8;6;1;8;
9;7;2;8;
9;8;1;4;
11;9;5;3;
13;10;3;9;
14;11;1;2;
17;12;3;9;
17;13;2;3;
18;14;3;5;
19;15;4;3;
23;16;1;10;
24;17;4;3;
24;18;3;5;
27;19;4;6;
27;20;1;4;
31;21;2;7;
33;22;1;6;
34;23;5;9;
37;24;4;4;
37;25;1;1;
37;26;5;2;
38;27;5;1;
50;28;1;2;
53;29;4;7;
58;30;2;1;
62;31;3;6;
62;32;3;2;
63;33;4;8;
66;34;2;9;
68;35;1;1;
68;36;2;10;
70;37;1;9;
72;38;1;5;
73;39;1;7;
77;40;2;2;
81;41;1;8;
82;42;5;10;
84;43;4;10;
85;44;2;8;
97;45;5;5;
98;46;3;9;
99;47;4;7;
104;48;1;3;
104;49;3;1;
106;50;1;1;
107;51;2;1;
114;52;4;3;
115;53;2;6;
118;54;2;3;
118;55;4;5;
119;56;5;7;
120;57;4;1;
