0;1;2;3;4
0;1;2;8;
2;2;1;2;
4;3;3;2;
8;4;5;8;
9;5;4;10;
11;6;3;8;
11;7;3;6;
14;8;3;10;
14;9;3;9;
16;10;2;4;
18;11;1;3;
27;12;2;10;
28;13;2;1;
30;14;1;8;
32;15;2;4;
33;16;1;5;
33;17;5;2;
39;18;5;1;
42;19;2;3;
43;20;5;8;
45;21;1;2;
46;22;3;4;
47;23;2;9;
47;24;5;3;
47;25;5;4;
47;26;3;2;
48;27;4;5;
48;28;5;7;
49;29;1;4;
50;30;5;8;
50;31;1;10;
53;32;4;3;
54;33;2;5;
56;34;5;9;
64;35;3;7;
65;36;5;4;
66;37;1;2;
73;38;1;2;
73;39;5;7;
75;40;4;5;
79;41;4;9;
79;42;3;4;
83;43;4;10;
84;44;3;6;
86;45;2;10;
87;46;1;8;
87;47;1;5;
92;48;4;4;
96;49;4;7;
98;50;5;6;
99;51;4;8;
101;52;5;8;
102;53;4;5;
102;54;4;1;
104;55;2;5;
104;56;5;6;
105;57;2;5;
107;58;4;8;
107;59;1;10;
108;60;5;9;
108;61;4;8;
110;62;5;9;
110;63;1;8;
110;64;4;9;
110;65;4;1;
110;66;1;2;
113;67;1;3;
113;68;5;4;
113;69;5;4;
117;70;3;2;
