0;1;2;3;4
3;1;2;1;
15;2;3;8;
15;3;3;3;
15;4;2;7;
16;5;4;6;
19;6;1;7;
19;7;5;7;
20;8;5;2;
22;9;5;4;
26;10;1;9;
26;11;4;8;
26;12;2;1;
28;13;4;8;
29;14;1;7;
31;15;5;10;
34;16;2;9;
35;17;1;4;
35;18;1;4;
35;19;5;5;
36;20;2;1;
41;21;5;10;
41;22;3;2;
42;23;2;4;
43;24;2;1;
43;25;1;5;
45;26;1;1;
47;27;5;4;
51;28;2;10;
54;29;1;8;
56;30;3;9;
59;31;3;7;
59;32;2;3;
64;33;1;8;
65;34;5;6;
67;35;3;10;
76;36;2;5;
79;37;1;4;
79;38;4;8;
85;39;2;1;
86;40;4;6;
86;41;3;7;
88;42;1;10;
88;43;5;6;
89;44;5;5;
89;45;4;6;
93;46;2;3;
97;47;4;6;
98;48;5;3;
99;49;2;10;
100;50;1;8;
100;51;3;4;
101;52;1;10;
101;53;2;4;
104;54;5;3;
107;55;2;1;
107;56;4;4;
110;57;4;9;
113;58;4;10;
114;59;5;6;
116;60;3;1;
116;61;2;7;
116;62;3;9;
117;63;3;7;
119;64;1;10;
