0;1;2;3;4
0;1;4;10;
7;2;2;2;
10;3;5;2;
11;4;3;7;
15;5;5;7;
17;6;1;9;
25;7;2;7;
25;8;3;4;
25;9;2;8;
27;10;2;5;
28;11;1;4;
30;12;2;9;
30;13;1;9;
31;14;4;9;
37;15;4;9;
39;16;5;9;
41;17;1;3;
42;18;1;1;
43;19;2;2;
43;20;4;1;
48;21;5;2;
53;22;5;1;
56;23;5;10;
58;24;2;6;
59;25;4;7;
60;26;4;3;
62;27;3;3;
62;28;3;2;
62;29;5;3;
63;30;3;6;
65;31;3;2;
66;32;2;10;
75;33;5;7;
78;34;1;8;
81;35;5;2;
81;36;2;10;
83;37;1;6;
87;38;3;1;
88;39;1;7;
93;40;5;9;
94;41;4;8;
95;42;1;8;
95;43;5;9;
100;44;3;7;
101;45;3;1;
105;46;1;5;
105;47;3;5;
105;48;3;9;
105;49;5;4;
106;50;3;6;
108;51;1;8;
108;52;4;2;
110;53;4;7;
110;54;4;2;
110;55;5;3;
113;56;5;3;
113;57;2;8;
115;58;4;1;
117;59;5;1;
