0;1;2;3;4
8;1;2;5;
11;2;2;5;
11;3;4;7;
11;4;5;1;
13;5;5;3;
15;6;5;9;
15;7;3;4;
16;8;4;6;
23;9;2;5;
23;10;4;3;
26;11;4;10;
26;12;3;1;
28;13;5;8;
29;14;4;1;
37;15;5;8;
37;16;4;9;
38;17;2;3;
39;18;3;4;
41;19;3;8;
43;20;1;10;
44;21;5;1;
45;22;4;10;
49;23;3;3;
51;24;5;3;
51;25;4;4;
53;26;5;7;
53;27;1;2;
53;28;2;10;
54;29;5;8;
57;30;4;1;
58;31;2;3;
60;32;2;5;
62;33;4;8;
65;34;4;3;
67;35;4;8;
68;36;2;2;
71;37;3;8;
71;38;5;3;
78;39;4;3;
78;40;1;5;
80;41;2;3;
83;42;5;3;
83;43;1;4;
83;44;5;3;
86;45;5;6;
86;46;5;4;
87;47;1;5;
87;48;4;6;
89;49;5;3;
93;50;2;7;
93;51;5;1;
97;52;1;2;
98;53;4;4;
100;54;1;10;
101;55;5;6;
112;56;3;5;
116;57;1;3;
116;58;2;3;
