0;1;2;3;4
2;1;4;4;
3;2;5;5;
5;3;1;7;
9;4;4;6;
9;5;1;10;
14;6;3;3;
15;7;3;7;
20;8;1;2;
21;9;1;3;
21;10;3;2;
21;11;5;10;
25;12;4;9;
33;13;3;3;
35;14;1;3;
38;15;5;5;
38;16;2;9;
48;17;5;5;
49;18;5;8;
50;19;3;4;
55;20;5;5;
56;21;4;9;
56;22;4;4;
56;23;4;4;
60;24;1;6;
60;25;4;2;
60;26;4;9;
63;27;5;8;
67;28;1;5;
68;29;1;4;
69;30;4;7;
69;31;3;6;
71;32;4;3;
72;33;5;10;
74;34;4;6;
76;35;4;6;
77;36;3;5;
78;37;5;7;
82;38;5;8;
84;39;4;4;
85;40;1;8;
90;41;2;10;
98;42;2;6;
108;43;2;5;
111;44;4;1;
114;45;2;1;
120;46;4;3;
