0;1;2;3;4
2;1;5;2;
2;2;5;10;
2;3;5;4;
3;4;2;5;
4;5;4;8;
6;6;2;7;
6;7;5;9;
7;8;5;8;
10;9;2;7;
10;10;3;6;
11;11;3;7;
12;12;1;8;
12;13;4;7;
12;14;5;5;
12;15;3;8;
13;16;3;1;
16;17;2;4;
16;18;4;6;
18;19;3;7;
18;20;3;4;
19;21;5;2;
19;22;4;1;
22;23;2;6;
23;24;3;1;
24;25;3;1;
25;26;5;4;
25;27;4;2;
26;28;1;5;
27;29;3;8;
28;30;5;1;
29;31;5;10;
30;32;1;9;
30;33;4;4;
32;34;5;3;
32;35;5;2;
34;36;2;1;
37;37;4;2;
40;38;2;7;
42;39;4;2;
45;40;5;6;
46;41;1;3;
47;42;5;5;
49;43;3;9;
50;44;3;9;
50;45;5;7;
51;46;3;7;
51;47;2;4;
52;48;4;9;
52;49;4;9;
53;50;2;6;
53;51;4;1;
53;52;1;6;
55;53;2;6;
60;54;1;8;
65;55;4;7;
65;56;5;10;
69;57;2;9;
70;58;2;6;
72;59;5;1;
73;60;2;1;
74;61;3;7;
77;62;4;4;
79;63;5;3;
79;64;3;7;
81;65;1;4;
82;66;1;4;
82;67;2;2;
83;68;4;5;
91;69;4;10;
93;70;5;10;
95;71;4;5;
97;72;1;6;
100;73;5;6;
100;74;5;9;
101;75;4;9;
103;76;2;5;
104;77;3;2;
106;78;4;9;
107;79;3;7;
108;80;2;6;
112;81;3;8;
112;82;4;8;
113;83;4;7;
113;84;3;7;
119;85;2;10;
119;86;3;10;
