0;1;2;3;4
5;1;3;2;
9;2;2;3;
9;3;1;7;
9;4;3;4;
11;5;2;3;
13;6;5;3;
18;7;4;6;
20;8;5;7;
20;9;4;3;
20;10;1;5;
22;11;3;9;
22;12;3;5;
22;13;3;5;
24;14;5;2;
25;15;3;6;
25;16;3;2;
25;17;2;1;
29;18;3;3;
29;19;4;3;
30;20;5;7;
34;21;5;6;
35;22;2;10;
38;23;2;3;
38;24;1;8;
40;25;5;10;
42;26;1;1;
42;27;2;7;
44;28;4;2;
44;29;1;8;
48;30;4;8;
49;31;2;6;
49;32;5;2;
52;33;5;3;
52;34;4;1;
53;35;1;7;
54;36;3;10;
54;37;1;8;
55;38;5;2;
56;39;4;3;
58;40;5;10;
58;41;3;6;
59;42;5;7;
62;43;5;1;
63;44;2;7;
63;45;4;6;
63;46;3;2;
65;47;4;7;
69;48;2;7;
71;49;3;5;
71;50;3;6;
72;51;4;9;
72;52;3;8;
72;53;3;5;
74;54;3;4;
74;55;5;7;
76;56;5;1;
77;57;3;1;
79;58;3;5;
79;59;3;3;
81;60;4;3;
83;61;2;6;
89;62;2;9;
90;63;3;10;
91;64;1;10;
91;65;2;5;
93;66;2;7;
93;67;4;5;
95;68;4;6;
96;69;2;2;
97;70;4;4;
101;71;3;8;
101;72;2;1;
102;73;5;6;
105;74;3;4;
106;75;3;2;
108;76;1;8;
110;77;3;7;
110;78;3;6;
111;79;2;3;
115;80;1;8;
118;81;2;5;
118;82;2;10;
