0;1;2;3;4
4;1;3;5;
5;2;4;6;
6;3;4;8;
8;4;4;8;
9;5;4;6;
19;6;5;2;
19;7;4;4;
24;8;4;7;
27;9;3;3;
28;10;5;9;
30;11;1;6;
31;12;2;6;
33;13;5;4;
33;14;2;2;
35;15;1;3;
36;16;1;8;
38;17;2;6;
46;18;2;10;
46;19;4;6;
47;20;1;6;
50;21;3;5;
52;22;3;2;
53;23;5;2;
61;24;3;3;
61;25;5;3;
62;26;5;1;
66;27;4;4;
66;28;3;1;
66;29;3;2;
66;30;3;8;
70;31;3;9;
79;32;2;4;
79;33;3;8;
82;34;2;3;
86;35;3;8;
88;36;5;1;
89;37;3;3;
90;38;4;4;
90;39;4;4;
91;40;4;6;
92;41;2;7;
95;42;4;3;
97;43;5;2;
98;44;1;1;
98;45;2;2;
98;46;2;9;
101;47;3;6;
105;48;1;4;
107;49;5;3;
111;50;5;2;
113;51;4;8;
115;52;1;3;
119;53;1;9;
