0;1;2;3;4
6;1;5;2;
7;2;4;4;
9;3;1;10;
10;4;3;3;
11;5;4;3;
15;6;2;5;
15;7;5;8;
17;8;3;7;
17;9;5;1;
19;10;4;6;
19;11;4;8;
20;12;4;7;
23;13;5;1;
26;14;1;2;
28;15;1;9;
30;16;2;3;
34;17;5;8;
38;18;4;1;
39;19;2;10;
47;20;5;1;
49;21;1;8;
53;22;3;1;
55;23;5;5;
55;24;4;1;
57;25;4;6;
58;26;4;1;
61;27;1;10;
61;28;2;5;
62;29;1;6;
66;30;1;2;
68;31;5;3;
79;32;1;1;
79;33;3;3;
80;34;2;6;
81;35;1;5;
83;36;5;5;
84;37;2;10;
90;38;5;10;
92;39;1;5;
93;40;4;3;
97;41;1;2;
98;42;1;1;
99;43;2;2;
100;44;4;9;
100;45;2;9;
101;46;2;6;
101;47;2;9;
102;48;3;3;
104;49;2;8;
106;50;4;8;
110;51;4;3;
111;52;5;6;
112;53;5;2;
114;54;1;10;
117;55;2;7;
118;56;5;4;
