0;1;2;3;4
4;1;2;10;
6;2;1;3;
7;3;3;3;
11;4;4;3;
11;5;5;3;
12;6;5;10;
12;7;5;7;
13;8;5;7;
17;9;5;8;
17;10;4;5;
19;11;1;2;
25;12;5;7;
25;13;2;9;
27;14;4;7;
29;15;5;10;
32;16;2;8;
33;17;4;2;
34;18;3;2;
35;19;4;10;
36;20;4;3;
40;21;1;5;
41;22;1;1;
42;23;1;2;
44;24;1;3;
48;25;3;1;
48;26;1;7;
48;27;1;6;
48;28;2;7;
51;29;5;1;
53;30;5;8;
56;31;2;9;
56;32;3;10;
59;33;5;8;
61;34;1;4;
61;35;5;8;
64;36;1;7;
66;37;2;7;
66;38;2;2;
72;39;2;6;
73;40;2;10;
78;41;2;8;
79;42;5;10;
85;43;4;5;
86;44;1;10;
87;45;2;4;
88;46;2;9;
91;47;3;8;
96;48;2;2;
96;49;4;4;
97;50;4;9;
97;51;2;8;
100;52;4;9;
104;53;1;6;
107;54;4;5;
113;55;2;9;
115;56;3;7;
116;57;3;10;
117;58;1;4;
117;59;1;9;
118;60;2;6;
119;61;5;3;
120;62;1;8;
