0;1;2;3;4
4;1;4;5;
6;2;3;8;
8;3;4;6;
9;4;5;6;
10;5;2;1;
15;6;3;3;
16;7;1;9;
16;8;4;10;
16;9;3;1;
17;10;2;5;
18;11;2;3;
19;12;1;8;
19;13;1;1;
20;14;1;8;
22;15;5;7;
22;16;3;1;
25;17;4;9;
25;18;4;2;
26;19;4;6;
26;20;1;3;
31;21;5;8;
32;22;2;1;
33;23;4;1;
34;24;4;6;
34;25;5;9;
37;26;5;5;
37;27;2;5;
43;28;1;4;
48;29;1;4;
50;30;5;2;
54;31;5;1;
54;32;3;9;
54;33;1;10;
55;34;5;8;
55;35;3;10;
56;36;5;10;
58;37;5;2;
66;38;5;9;
66;39;5;3;
68;40;3;9;
71;41;5;7;
72;42;1;3;
73;43;1;9;
75;44;5;3;
75;45;3;1;
75;46;3;10;
77;47;4;8;
77;48;5;8;
80;49;3;9;
80;50;4;7;
81;51;4;10;
84;52;2;3;
92;53;3;6;
93;54;3;4;
94;55;4;5;
99;56;4;6;
100;57;1;7;
101;58;5;5;
101;59;2;3;
102;60;4;6;
104;61;5;2;
105;62;3;3;
110;63;2;4;
111;64;1;3;
112;65;2;8;
112;66;4;4;
115;67;4;10;
117;68;4;6;
118;69;3;3;
120;70;3;7;
