0;1;2;3;4
2;1;3;6;
4;2;4;7;
5;3;4;3;
5;4;3;6;
5;5;5;9;
7;6;4;5;
10;7;3;3;
12;8;1;1;
13;9;3;1;
15;10;5;1;
16;11;3;5;
16;12;4;9;
17;13;2;10;
17;14;2;4;
23;15;5;3;
27;16;5;1;
29;17;5;5;
29;18;1;9;
30;19;2;10;
30;20;2;8;
31;21;4;8;
33;22;4;8;
37;23;1;7;
41;24;1;2;
44;25;5;9;
45;26;2;10;
47;27;3;10;
49;28;5;10;
50;29;2;3;
55;30;3;2;
55;31;5;2;
57;32;5;6;
59;33;3;8;
61;34;5;6;
62;35;3;2;
62;36;4;8;
63;37;4;3;
65;38;3;9;
67;39;5;10;
70;40;4;10;
72;41;5;10;
72;42;2;9;
73;43;1;10;
74;44;1;4;
75;45;3;7;
76;46;4;1;
77;47;4;6;
78;48;3;4;
78;49;4;10;
79;50;2;7;
83;51;3;5;
84;52;1;2;
85;53;2;3;
86;54;3;10;
86;55;4;3;
86;56;1;2;
88;57;4;2;
88;58;3;6;
89;59;3;5;
89;60;2;8;
89;61;5;8;
94;62;4;4;
97;63;2;4;
99;64;5;6;
100;65;2;4;
101;66;3;6;
103;67;5;5;
104;68;4;5;
105;69;5;9;
115;70;4;1;
117;71;2;9;
118;72;3;9;
118;73;5;10;
120;74;2;6;
120;75;3;8;
120;76;2;1;
