0;1;2;3;4
0;1;5;5;
0;2;5;2;
1;3;4;9;
4;4;2;8;
5;5;2;9;
9;6;4;3;
11;7;4;6;
11;8;4;10;
12;9;1;6;
13;10;2;9;
14;11;2;9;
15;12;4;8;
16;13;4;9;
16;14;5;4;
17;15;1;7;
17;16;5;10;
17;17;4;1;
17;18;4;3;
18;19;3;1;
20;20;5;2;
20;21;4;9;
21;22;4;7;
21;23;3;2;
22;24;5;3;
23;25;3;7;
28;26;4;3;
31;27;4;4;
33;28;2;7;
35;29;5;2;
35;30;5;10;
39;31;5;7;
39;32;2;9;
42;33;4;1;
44;34;5;8;
44;35;3;3;
45;36;5;2;
45;37;1;9;
45;38;4;5;
47;39;3;1;
49;40;5;10;
51;41;3;8;
51;42;5;8;
51;43;1;7;
53;44;5;9;
54;45;3;6;
54;46;5;6;
56;47;4;10;
57;48;4;4;
57;49;2;8;
58;50;4;6;
58;51;2;4;
59;52;2;5;
61;53;4;10;
62;54;4;5;
62;55;3;6;
67;56;3;6;
67;57;5;5;
67;58;2;9;
68;59;2;2;
69;60;4;1;
70;61;2;8;
70;62;1;9;
71;63;2;5;
71;64;3;4;
73;65;3;1;
75;66;5;8;
75;67;2;8;
81;68;3;9;
81;69;2;7;
83;70;3;3;
86;71;4;1;
86;72;3;3;
90;73;2;5;
90;74;3;5;
90;75;5;1;
92;76;3;6;
96;77;2;10;
97;78;5;1;
99;79;5;6;
100;80;2;7;
100;81;4;3;
100;82;3;9;
101;83;5;7;
105;84;1;1;
110;85;1;1;
110;86;5;4;
111;87;4;1;
111;88;3;10;
113;89;2;3;
114;90;1;4;
114;91;3;10;
115;92;2;10;
116;93;5;3;
119;94;1;4;
120;95;3;6;
