0;1;2;3;4
0;1;5;2;
4;2;2;7;
6;3;4;3;
7;4;3;3;
7;5;2;3;
11;6;5;6;
11;7;5;5;
15;8;1;9;
16;9;1;6;
16;10;1;3;
17;11;2;3;
18;12;3;5;
18;13;1;7;
19;14;2;3;
19;15;1;8;
22;16;2;6;
23;17;3;9;
24;18;1;1;
24;19;3;3;
25;20;4;3;
26;21;3;4;
27;22;2;7;
28;23;1;3;
40;24;5;10;
50;25;4;6;
52;26;1;9;
53;27;4;6;
57;28;3;8;
59;29;1;7;
59;30;2;2;
63;31;3;5;
64;32;4;5;
64;33;2;3;
65;34;1;1;
65;35;1;6;
75;36;3;1;
75;37;3;2;
76;38;4;6;
78;39;3;7;
82;40;4;3;
83;41;2;4;
91;42;2;3;
100;43;5;10;
102;44;4;2;
102;45;1;8;
106;46;5;2;
109;47;1;10;
116;48;5;7;
118;49;4;7;
118;50;4;5;
