0;1;2;3;4
10;1;2;9;
12;2;5;3;
13;3;4;2;
15;4;5;6;
16;5;1;3;
17;6;5;10;
18;7;1;9;
21;8;3;8;
22;9;5;3;
24;10;3;10;
28;11;1;8;
30;12;2;5;
31;13;1;3;
32;14;5;3;
34;15;3;2;
34;16;3;7;
38;17;5;4;
38;18;5;6;
40;19;2;10;
41;20;5;5;
41;21;5;10;
42;22;2;9;
44;23;5;9;
45;24;5;1;
47;25;3;6;
48;26;5;6;
49;27;4;2;
49;28;4;7;
50;29;4;6;
50;30;2;4;
56;31;2;8;
56;32;5;6;
58;33;5;6;
60;34;1;3;
62;35;2;10;
63;36;2;10;
65;37;1;6;
67;38;3;3;
70;39;1;7;
71;40;1;5;
73;41;5;9;
73;42;4;1;
75;43;2;2;
77;44;2;7;
77;45;1;3;
78;46;5;1;
79;47;5;6;
80;48;2;9;
82;49;3;6;
83;50;4;1;
85;51;2;5;
86;52;3;6;
86;53;5;4;
87;54;5;3;
87;55;4;9;
88;56;3;8;
91;57;5;10;
91;58;3;10;
94;59;4;1;
95;60;5;6;
97;61;4;9;
98;62;1;2;
104;63;2;10;
104;64;5;2;
106;65;2;2;
107;66;2;5;
107;67;1;2;
107;68;2;1;
109;69;5;9;
113;70;5;6;
120;71;2;8;
