0;1;2;3;4
6;1;4;9;
11;2;5;2;
11;3;4;9;
12;4;1;8;
13;5;5;9;
14;6;2;9;
14;7;4;4;
15;8;3;3;
18;9;2;4;
18;10;2;3;
19;11;4;6;
20;12;2;5;
20;13;4;7;
22;14;4;10;
25;15;1;3;
28;16;4;5;
28;17;2;1;
31;18;5;9;
32;19;2;5;
34;20;3;9;
37;21;4;8;
41;22;1;10;
43;23;4;2;
46;24;4;1;
46;25;3;1;
46;26;5;3;
48;27;5;1;
49;28;2;7;
49;29;5;1;
52;30;2;5;
53;31;4;10;
55;32;1;2;
57;33;1;8;
58;34;3;5;
58;35;3;6;
63;36;5;4;
64;37;1;7;
64;38;2;3;
66;39;1;7;
67;40;1;1;
69;41;5;6;
70;42;2;1;
70;43;4;5;
74;44;4;9;
76;45;1;4;
76;46;5;10;
77;47;3;3;
78;48;2;9;
79;49;1;9;
79;50;2;9;
79;51;4;6;
82;52;3;3;
82;53;2;10;
86;54;2;10;
86;55;1;3;
88;56;2;4;
89;57;5;3;
91;58;3;4;
91;59;4;7;
92;60;3;3;
93;61;3;7;
93;62;1;5;
96;63;1;2;
97;64;2;3;
101;65;3;5;
101;66;1;9;
102;67;1;1;
102;68;4;4;
102;69;4;2;
103;70;2;10;
104;71;1;10;
110;72;2;2;
111;73;5;6;
111;74;4;4;
111;75;3;3;
115;76;2;7;
116;77;3;2;
116;78;4;10;
116;79;1;2;
117;80;2;1;
119;81;3;7;
119;82;1;9;
119;83;4;4;
