0;1;2;3;4
0;1;5;10;
1;2;1;7;
2;3;1;4;
2;4;1;1;
6;5;5;10;
8;6;1;10;
11;7;3;1;
13;8;5;7;
14;9;2;8;
15;10;2;1;
15;11;2;7;
16;12;1;3;
17;13;5;9;
19;14;4;9;
19;15;3;5;
20;16;1;3;
25;17;4;8;
32;18;4;3;
36;19;4;7;
38;20;1;10;
44;21;2;4;
45;22;4;2;
47;23;3;4;
53;24;2;10;
53;25;5;7;
54;26;2;2;
54;27;2;6;
55;28;5;2;
55;29;5;4;
56;30;3;3;
58;31;1;10;
58;32;4;7;
62;33;3;4;
64;34;2;6;
65;35;5;10;
72;36;4;7;
77;37;1;7;
78;38;5;4;
79;39;3;5;
82;40;1;7;
82;41;2;9;
82;42;4;4;
83;43;3;9;
85;44;1;1;
89;45;4;3;
90;46;4;6;
92;47;4;5;
95;48;5;6;
96;49;4;4;
99;50;5;3;
100;51;4;6;
101;52;1;2;
106;53;4;10;
114;54;2;3;
115;55;3;4;
116;56;1;5;
116;57;5;1;
