0;1;2;3;4
1;1;1;3;
1;2;2;6;
2;3;2;10;
2;4;2;4;
10;5;2;5;
13;6;2;10;
13;7;1;9;
15;8;1;9;
17;9;2;2;
19;10;3;2;
24;11;3;3;
28;12;3;1;
28;13;1;7;
29;14;5;4;
31;15;2;5;
32;16;3;7;
35;17;4;3;
36;18;5;3;
37;19;2;10;
38;20;4;1;
40;21;4;7;
41;22;1;10;
42;23;4;8;
42;24;4;10;
42;25;4;4;
43;26;3;4;
44;27;5;6;
44;28;1;10;
48;29;2;3;
51;30;1;9;
52;31;5;9;
54;32;2;8;
55;33;2;7;
63;34;2;10;
64;35;2;5;
64;36;3;7;
65;37;2;1;
66;38;1;6;
67;39;1;1;
69;40;4;7;
76;41;4;2;
80;42;5;6;
81;43;1;7;
85;44;4;7;
91;45;5;2;
92;46;3;3;
92;47;3;9;
93;48;5;3;
96;49;5;2;
101;50;3;5;
103;51;2;4;
103;52;2;3;
104;53;1;2;
104;54;1;3;
109;55;5;1;
115;56;1;1;
115;57;1;3;
116;58;5;2;
