0;1;2;3;4
0;1;5;8;
0;2;4;2;
0;3;2;4;
1;4;1;4;
3;5;3;8;
6;6;5;3;
9;7;2;5;
10;8;5;8;
11;9;4;10;
15;10;2;4;
15;11;4;7;
17;12;4;10;
17;13;5;5;
17;14;4;2;
18;15;1;4;
18;16;1;6;
25;17;4;8;
27;18;1;9;
29;19;2;9;
32;20;3;7;
33;21;1;8;
41;22;5;6;
42;23;1;1;
43;24;4;8;
50;25;3;1;
50;26;2;7;
53;27;1;5;
53;28;4;10;
57;29;3;8;
58;30;3;5;
62;31;2;3;
64;32;3;2;
64;33;4;6;
68;34;1;10;
71;35;5;10;
74;36;4;8;
74;37;3;3;
75;38;4;10;
76;39;2;5;
76;40;2;7;
76;41;1;1;
81;42;5;2;
82;43;3;7;
91;44;1;5;
91;45;3;8;
92;46;2;8;
96;47;3;9;
96;48;1;2;
98;49;5;1;
99;50;3;8;
99;51;1;3;
101;52;2;1;
102;53;2;9;
102;54;2;3;
103;55;4;1;
104;56;5;2;
105;57;5;7;
106;58;3;8;
108;59;3;1;
108;60;4;3;
114;61;2;10;
114;62;1;10;
114;63;1;8;
114;64;3;10;
115;65;5;10;
117;66;2;10;
118;67;4;5;
