0;1;2;3;4
0;1;1;8;
2;2;4;5;
3;3;2;4;
5;4;4;6;
9;5;5;7;
11;6;1;8;
13;7;4;4;
14;8;3;7;
16;9;1;2;
16;10;2;1;
17;11;4;10;
18;12;4;9;
19;13;3;1;
19;14;1;7;
19;15;1;4;
21;16;3;1;
22;17;5;8;
23;18;3;5;
25;19;2;3;
27;20;3;5;
28;21;3;10;
29;22;1;5;
30;23;2;8;
45;24;5;6;
47;25;3;8;
49;26;1;1;
49;27;1;1;
54;28;2;5;
56;29;1;6;
62;30;4;4;
66;31;5;9;
66;32;1;10;
70;33;2;4;
70;34;3;6;
75;35;2;3;
76;36;4;2;
77;37;3;5;
80;38;3;6;
88;39;4;5;
88;40;5;7;
92;41;4;3;
97;42;4;6;
98;43;4;8;
101;44;5;6;
105;45;5;2;
111;46;1;1;
115;47;3;1;
116;48;1;10;
116;49;5;1;
