0;1;2;3;4
0;1;1;8;
3;2;4;1;
5;3;1;2;
5;4;3;2;
5;5;4;6;
6;6;1;7;
6;7;2;2;
6;8;1;1;
7;9;2;7;
8;10;1;9;
9;11;5;8;
11;12;3;4;
12;13;3;9;
12;14;3;5;
13;15;5;8;
14;16;5;3;
15;17;3;10;
15;18;5;3;
16;19;2;4;
17;20;2;4;
17;21;3;10;
19;22;1;4;
20;23;4;2;
23;24;1;10;
25;25;3;8;
25;26;5;10;
27;27;1;8;
28;28;1;9;
29;29;2;8;
30;30;5;7;
31;31;3;3;
32;32;1;7;
32;33;3;3;
33;34;1;7;
33;35;1;8;
35;36;5;2;
36;37;2;5;
38;38;5;5;
39;39;1;6;
39;40;5;8;
40;41;4;3;
41;42;1;3;
41;43;3;9;
42;44;1;10;
42;45;4;1;
42;46;1;10;
42;47;5;4;
43;48;2;2;
46;49;1;2;
46;50;2;3;
47;51;2;10;
48;52;2;4;
50;53;2;2;
52;54;1;1;
53;55;5;10;
53;56;4;7;
55;57;2;2;
57;58;1;4;
59;59;2;4;
60;60;5;4;
61;61;1;10;
62;62;2;7;
64;63;5;1;
67;64;4;4;
68;65;4;6;
70;66;4;2;
71;67;1;3;
73;68;4;9;
74;69;4;3;
75;70;5;5;
76;71;1;6;
79;72;5;2;
84;73;3;1;
85;74;2;6;
86;75;1;1;
86;76;4;10;
87;77;1;6;
88;78;1;10;
89;79;3;10;
90;80;4;2;
91;81;3;4;
93;82;3;3;
94;83;5;6;
94;84;3;3;
99;85;5;4;
100;86;1;8;
101;87;4;7;
102;88;1;6;
105;89;3;9;
107;90;3;4;
111;91;5;9;
112;92;3;5;
113;93;3;4;
116;94;3;8;
117;95;3;6;
118;96;4;1;
118;97;3;4;
