0;1;2;3;4
3;1;5;7;
4;2;3;2;
7;3;1;10;
14;4;4;10;
17;5;1;8;
20;6;1;6;
21;7;1;5;
22;8;4;8;
24;9;5;4;
24;10;3;2;
28;11;5;10;
30;12;5;2;
31;13;5;9;
34;14;5;10;
36;15;5;10;
39;16;4;3;
40;17;2;1;
41;18;3;4;
42;19;3;6;
43;20;1;1;
43;21;3;5;
46;22;2;4;
47;23;1;5;
49;24;4;6;
55;25;1;6;
56;26;5;9;
57;27;2;8;
57;28;2;2;
60;29;4;7;
64;30;2;2;
65;31;5;3;
67;32;2;2;
72;33;2;9;
73;34;3;7;
76;35;2;8;
81;36;4;9;
81;37;1;3;
81;38;3;3;
83;39;4;1;
84;40;1;10;
85;41;4;5;
86;42;3;3;
91;43;1;5;
95;44;1;3;
98;45;1;1;
99;46;4;5;
101;47;3;8;
102;48;2;6;
103;49;3;10;
103;50;2;8;
104;51;4;3;
108;52;2;2;
108;53;2;9;
108;54;3;3;
110;55;4;2;
110;56;5;3;
112;57;5;4;
115;58;5;8;
115;59;3;6;
117;60;5;2;
118;61;5;7;
118;62;5;2;
119;63;2;1;
119;64;2;5;
