0;1;2;3;4
6;1;1;7;
7;2;3;3;
8;3;5;10;
15;4;4;3;
15;5;2;5;
15;6;3;10;
16;7;3;10;
23;8;4;8;
25;9;1;10;
28;10;3;5;
31;11;4;9;
31;12;1;10;
33;13;1;1;
37;14;2;7;
38;15;1;5;
39;16;2;10;
40;17;3;2;
44;18;3;4;
46;19;4;3;
48;20;2;3;
51;21;4;4;
52;22;5;3;
56;23;2;3;
56;24;4;9;
57;25;3;1;
57;26;2;1;
59;27;3;2;
62;28;1;4;
69;29;1;4;
72;30;3;4;
73;31;1;8;
75;32;5;2;
75;33;3;7;
78;34;4;3;
80;35;1;5;
80;36;1;3;
82;37;2;3;
82;38;1;9;
83;39;3;5;
84;40;4;8;
89;41;1;7;
90;42;4;7;
90;43;1;9;
91;44;5;5;
94;45;1;10;
98;46;4;9;
101;47;5;5;
103;48;2;1;
105;49;1;7;
106;50;2;9;
109;51;1;8;
109;52;5;4;
114;53;2;6;
117;54;4;10;
120;55;5;6;
