0;1;2;3;4
0;1;4;1;
0;2;1;4;
1;3;1;1;
3;4;5;6;
4;5;3;3;
4;6;3;10;
4;7;2;3;
6;8;1;5;
8;9;5;2;
9;10;5;5;
9;11;3;4;
10;12;5;4;
11;13;1;2;
11;14;4;1;
12;15;4;2;
13;16;1;10;
13;17;1;6;
19;18;5;8;
20;19;1;9;
20;20;4;8;
22;21;3;7;
25;22;5;8;
25;23;5;5;
26;24;2;9;
26;25;4;7;
27;26;4;8;
27;27;5;8;
27;28;5;8;
27;29;5;6;
27;30;4;2;
28;31;5;5;
28;32;4;10;
31;33;4;10;
32;34;4;7;
33;35;3;1;
33;36;5;9;
33;37;2;9;
34;38;5;7;
35;39;2;6;
37;40;5;3;
38;41;5;4;
39;42;3;3;
39;43;5;4;
41;44;4;9;
41;45;5;9;
42;46;1;7;
42;47;1;2;
43;48;3;8;
43;49;3;4;
45;50;2;10;
46;51;1;2;
47;52;1;1;
51;53;1;10;
51;54;3;1;
54;55;2;3;
55;56;1;2;
57;57;1;4;
58;58;2;10;
58;59;2;10;
64;60;4;9;
65;61;2;1;
65;62;4;7;
66;63;3;4;
66;64;3;8;
66;65;5;6;
68;66;5;2;
70;67;4;1;
71;68;2;4;
73;69;4;1;
73;70;3;2;
76;71;3;3;
77;72;3;6;
77;73;2;10;
80;74;5;8;
80;75;2;9;
85;76;3;2;
87;77;3;7;
89;78;2;4;
90;79;4;9;
90;80;3;10;
90;81;3;3;
94;82;2;4;
96;83;2;4;
97;84;3;3;
97;85;1;6;
107;86;3;2;
111;87;3;6;
112;88;2;2;
112;89;1;5;
114;90;2;10;
115;91;4;4;
118;92;2;4;
