0;1;2;3;4
1;1;4;2;
2;2;2;6;
3;3;4;5;
4;4;3;1;
6;5;1;1;
8;6;4;10;
8;7;2;2;
9;8;1;1;
9;9;2;6;
12;10;3;2;
13;11;1;8;
13;12;3;8;
15;13;4;8;
15;14;5;1;
15;15;1;8;
17;16;5;5;
17;17;2;6;
18;18;5;2;
18;19;2;8;
20;20;3;9;
21;21;5;2;
23;22;2;3;
24;23;1;5;
24;24;1;3;
25;25;3;10;
28;26;2;2;
30;27;4;1;
34;28;3;2;
37;29;3;10;
44;30;4;3;
46;31;5;4;
51;32;2;2;
52;33;1;5;
54;34;1;10;
59;35;2;6;
59;36;3;6;
59;37;2;7;
60;38;3;9;
61;39;4;9;
61;40;4;9;
65;41;4;5;
65;42;4;5;
68;43;2;8;
68;44;4;3;
68;45;3;6;
69;46;3;1;
70;47;3;3;
70;48;4;8;
71;49;1;6;
74;50;4;3;
74;51;1;10;
74;52;4;7;
77;53;2;4;
78;54;2;7;
82;55;1;3;
84;56;4;2;
85;57;3;6;
87;58;3;2;
88;59;2;2;
93;60;1;5;
94;61;5;7;
95;62;4;10;
96;63;3;7;
97;64;5;3;
101;65;2;9;
102;66;4;9;
104;67;1;7;
113;68;1;10;
114;69;5;6;
114;70;5;1;
117;71;2;1;
120;72;1;6;
